group_id,group_type,title,question,terms,regions,services,default_action
regional_keyword_targeting,regional,Regional keyword targeting,"From the search term report, we picked up cities of interest for services. Please confirm if you'd like to Focus, Keep, or Exclude keyword targeting for these cities. This may also warrant building ad groups with unique ad copy for these cities.",emdr therapy markham; emdr therapy scarborough; inpatient trauma treatment ontario; pain solutions pickering,Barrie; Markham; Mississauga; North York; Ontario (province-wide); Pickering; Scarborough; Vaughan,Emdr Therapy; Trauma Therapy; Chronic Pain Therapy,Discuss before building city-specific ad groups
unclear_intent_cluster,service,Review unclear search intent cluster,These searches are not clearly tied to a confirmed service. Are any of these services you want us to pursue?,211 toronto mental health; dr sarno; fibromyalgia counselling; hf care asian mental health and well being north york,,,Review intent
exclude_recommendations,exclude,Review grouped exclusions,"These look like non-fit searches, so we plan to keep them out unless you see a service we should support.",the pain clinic toronto; best pain clinic toronto; interventional pain & spine specialists of canada 1262 don mills rd 62 north york on m3b 2w7; wasser pain clinic toronto,,,Exclude or continue excluding
